name,list_id,country,entity_type,address,remarks
90 EKSPERIMENTALNY ZAVOD OAO,18792,,COMPANY,,"Website http://www.90zavod.ru; Executive Order 13662 Directive Determination - Subject to Directive 3; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Tax ID No. 5030056754; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: STATE CORPORATION ROSTEC."
"ABDUL JAWAD, Naser",9696,,INDIVIDUAL,,DOB 1965; HAMAS - Salfit.
"ABU HALABIYYE, Ahmad Yousef",9666,,INDIVIDUAL,,DOB 1952.
"ABU HASSAN, Khaled",9689,,INDIVIDUAL,,DOB 1967; HAMAS - Jenin.
"ABU JHEISHEH, Mohammed",9673,,INDIVIDUAL,,"DOB 1955; POB Izna, Hebron; HAMAS - Hebron."
"ABU MSAMEH, Sayyed Salem",9661,,INDIVIDUAL,,DOB 1948.
"ABU RAS, Marwan Mohammed",9662,,INDIVIDUAL,,DOB 1958.
"ABU SALEM, Ibrahim",9693,,INDIVIDUAL,,DOB 1948; HAMAS - Jerusalem.
"ABU SEIR, Daoud",9677,,INDIVIDUAL,,DOB 1955; HAMAS - Hebron.
"ABU TEIR, Mohammed",9640,,INDIVIDUAL,,DOB 1951; POB Umm Tuba.
"ABU TOS, Khaled",9697,,INDIVIDUAL,,"DOB 1949; POB Tulkarem, West Bank; HAMAS - Toubas."
"ACHIM DEVELOPMENT, OOO",19692,,COMPANY,,"Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1148904001971; Tax ID No. 8904075533; Government Gazette Number 32131525; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
AERO ENGINE CORPORATION OF CHINA,30902,,COMPANY,,Target Type State-Owned Enterprise; Effective Date (CMIC) 02 Aug 2021; Purchase/Sales For Divestment Date (CMIC) 03 Jun 2022; Listing Date (CMIC) 03 Jun 2021; Unified Social Credit Code (USCC) 91110000MA005UCQ5P (China); a.k.a. 'AECC'.
"AEROSPACE CH UAV CO., LTD",32084,,COMPANY,,Equity Ticker 002389  CN; Issuer Name Aerospace CH UAV Co Ltd; ISIN CNE100000N20; Target Type Public Company; Effective Date (CMIC) 02 Aug 2021; Purchase/Sales For Divestment Date (CMIC) 03 Jun 2022; Listing Date (CMIC) 03 Jun 2021; Unified Social Credit Code (USCC) 91330000734507783B (China).
AEROSPACE COMMUNICATIONS HOLDINGS GROUP COMPANY LIMITED,32073,,COMPANY,,"Equity Ticker 600677  CN; Issuer Name Aerospace Communications Holdings Co., Ltd.; ISIN CNE000000BS6; Target Type Public Company; Effective Date (CMIC) 02 Aug 2021; Purchase/Sales For Divestment Date (CMIC) 03 Jun 2022; Listing Date (CMIC) 03 Jun 2021; Unified Social Credit Code (USCC) 913300001429112055 (China)."
AEROSUN CORPORATION,32129,,COMPANY,,Equity Ticker 600501 CN; Issuer Name Aerosun Corporation; ISIN CNE000001857; Target Type Public Company; Effective Date (CMIC) 02 Aug 2021; Purchase/Sales For Divestment Date (CMIC) 03 Jun 2022; Listing Date (CMIC) 03 Jun 2021; Unified Social Credit Code (USCC) 91320000714091899R (China).
"AGROKREDIT-INFORM, AO",20660,,COMPANY,,"Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1087746334400; Tax ID No. 7704681172; Government Gazette Number 85651516; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.; Linked To: JOINT STOCK COMPANY RUSSIAN AGRICULTURAL BANK."
"AHMAD, Ahmad Ali",9681,,INDIVIDUAL,,DOB 1940; HAMAS - Nablus.
AKTSIONERNOE OBSHCHESTVO MOSKOVSKI MASHINOSTROITELNY EKSPERIMENTALNY ZAVOD - KOMPOZITSIONNYE TEKHNOLOGII,18794,,COMPANY,,"Email Address 9400658@rambler.ru; Executive Order 13662 Directive Determination - Subject to Directive 3; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1037714019815; Tax ID No. 7714303050; Government Gazette Number 00211286; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: STATE CORPORATION ROSTEC."
AKTSIONERNOE OBSHCHESTVO NAUCHNO-PROIZVODSTVENNOE OBEDINENIE OPTIKA,18808,,COMPANY,,"Email Address TEOPT@MAIL.CNT.RU; Executive Order 13662 Directive Determination - Subject to Directive 3; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1127746188536; Tax ID No. 7715909132; Government Gazette Number 17412936; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: STATE CORPORATION ROSTEC."
AKTSIONERNOE OBSHCHESTVO NOVOSIBIRSKI ZAVOD POLUPROVODNIKOVYKH PRIBOROV S OKB,18815,,COMPANY,,"Email Address secretar@nzpp.ru; Executive Order 13662 Directive Determination - Subject to Directive 3; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1115476167180; Tax ID No. 5402546039; Government Gazette Number 07617658; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: STATE CORPORATION ROSTEC."
AKTSIONERNOE OBSHCHESTVO RT-AVTO,18778,,COMPANY,,"Website http://rostec.ru; Executive Order 13662 Directive Determination - Subject to Directive 3; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1107746247850; Tax ID No. 7709851082; Government Gazette Number 66310966; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; a.k.a. 'RT-AVTO, AO'; a.k.a. 'RT-AVTO, OAO'; a.k.a. 'RT-AUTO'; Linked To: STATE CORPORATION ROSTEC."
AKTSIONERNOE OBSHCHESTVO RT-BIOTEKHPROM,18777,,COMPANY,,"Website www.rt-biotechprom.ru; Email Address dshumikhin@rt-biotechprom.ru; Executive Order 13662 Directive Determination - Subject to Directive 3; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1097746425996; Tax ID No. 7704730729; Government Gazette Number 62666778; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: STATE CORPORATION ROSTEC."
AKTSIONERNOE OBSHCHESTVO RT-KHIMICHESKIE TEKHNOLOGII I KOMPOZITSIONNYE MATERIALY,18776,,COMPANY,,"Executive Order 13662 Directive Determination - Subject to Directive 3; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1097746269785; Tax ID No. 7734613934; Government Gazette Number 61698405; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: STATE CORPORATION ROSTEC."
AKTSIONERNOE OBSHCHESTVO RT-OKHRANA,18785,,COMPANY,,"Website http://rtguard.ru/; Executive Order 13662 Directive Determination - Subject to Directive 3; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1107746577652; Tax ID No. 7704759968; Government Gazette Number 66902230; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: STATE CORPORATION ROSTEC."
AKTSIONERNOE OBSHCHESTVO RT-STROITELNYE TEKHNOLOGII,18816,,COMPANY,,"Email Address chernyakova-st@stroytech-rt.ru; Executive Order 13662 Directive Determination - Subject to Directive 3; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1097746324400; Tax ID No. 7704727853; Government Gazette Number 61771160; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: STATE CORPORATION ROSTEC."
AKTSIONERNOE OBSHCHESTVO SG-DEVELOPMENT,18740,,COMPANY,,"Website www.hals-development.ru; Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; alt. Secondary sanctions risk: See Section 11 of Executive Order 14024.; Organization Established Date 21 Jan 1994; Organization Type: Real estate activities on a fee or contract basis; Registration ID 1027739002510 (Russia); Tax ID No. 7706032060 (Russia); For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: VTB BANK PUBLIC JOINT STOCK COMPANY."
AKTSIONERNOE OBSHCHESTVO TSENTRALNOE KONSTRUKTORSKOE BYURO SPETSIALNYKH RADIOMATERIALOV,18793,,COMPANY,,"Website www.ckbrm.nm.ru; alt. Website http://ckbrm.ru; Email Address ckbrm@nm.ru; Executive Order 13662 Directive Determination - Subject to Directive 3; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1077746102060; Tax ID No. 7722599844; Government Gazette Number 07550073; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: STATE CORPORATION ROSTEC."
"AL-ABADSAH, Yahia Abdul Aziz",9656,,INDIVIDUAL,,DOB 1958.
"AL-ASHQAR, Ismail",9711,,INDIVIDUAL,,DOB 1962; HAMAS - Northern Gaza.
"AL-ASTAL, Younes",9700,,INDIVIDUAL,,DOB 1956; POB Khan Younis; HAMAS - Khan Younis.
"AL-BARDAWIL, Salah",9699,,INDIVIDUAL,,DOB 1959; POB Khan Younis; HAMAS - Khan Younis.
"AL-GHOUL, Mohammed Faraj",9707,,INDIVIDUAL,,DOB 1957; HAMAS - Gaza.
"AL-HABAL, Mushir",9708,,INDIVIDUAL,,DOB 1978; HAMAS - Northern Gaza.
"AL-HAYYEH, Khalil",9706,,INDIVIDUAL,,DOB 1960; HAMAS - Gaza.
"AL-HUSSEINI, Wael",9695,,INDIVIDUAL,,DOB 1962; HAMAS - Jerusalem.
"AL-JAMAL, Abdul Rahman",9701,,INDIVIDUAL,,DOB 1961; HAMAS - Der al-Balah.
"AL-KHATIB, Mahmoud",9687,,INDIVIDUAL,,DOB 1972; HAMAS - Bethlehem.
"AL-QADI, Samir",9672,,INDIVIDUAL,,DOB 1956; HAMAS - Hebron.
"AL-QREINAWI, Huda Naim",9645,,INDIVIDUAL,,DOB 1969.
"AL-RAMAHI, Mahmoud Ahmad",9646,,INDIVIDUAL,,DOB 1963.
"AL-SHANTI, Jamileh Abdullah",9641,,INDIVIDUAL,,DOB 1955; POB Jabalia Camp.
"AL-SHARAFI, Yousef",9710,,INDIVIDUAL,,DOB 1963; HAMAS - Northern Gaza.
"AL-TAL, Mohammed",9676,,INDIVIDUAL,,DOB 1965; HAMAS - Hebron.
"ALBASHSKI ELEVATOR, OAO",20673,,COMPANY,,"Email Address albashskiy@mail.ru; Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1022303977112; Tax ID No. 2334001310; Government Gazette Number 00940430; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.; Linked To: JOINT STOCK COMPANY RUSSIAN AGRICULTURAL BANK."
"AMLI, Riyad Ali",9680,,INDIVIDUAL,,DOB 1961; HAMAS - Nablus.
ANHUI GREATWALL MILITARY INDUSTRY COMPANY LIMITED,32028,,COMPANY,,"Equity Ticker 601606 CN; Issuer Name Anhui Greatwall Military Industry Co., Ltd; ISIN CNE1000036L1; Target Type Public Company; Effective Date (CMIC) 02 Aug 2021; Purchase/Sales For Divestment Date (CMIC) 03 Jun 2022; Listing Date (CMIC) 03 Jun 2021; Unified Social Credit Code (USCC) 9134000070503581XA (China)."
AREXIMBANK-GAZPROMBANK GROUP CJSC,20311,,COMPANY,,"SWIFT/BIC RKASAM22; Website www.areximbank.am; Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Tax ID No. 02540791; All offices worldwide; for more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: GAZPROMBANK JOINT STOCK COMPANY."
"ATTOUN, Ahmad",9692,,INDIVIDUAL,,DOB 1968; HAMAS - Jerusalem.
AUCTION LIMITED LIABILITY COMPANY,18741,,COMPANY,,"Website www.aukcion-sbrf.ru; Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; alt. Secondary sanctions risk: See Section 11 of Executive Order 14024.; Registration ID 1027700256297 (Russia); For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY SBERBANK OF RUSSIA."
AUTOMATED BANKING TECHNOLOGIES CJSC,20009,,COMPANY,,"Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Tax ID No. 7702026595 (Russia); For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: BM BANK JSC."
"AVIATION INDUSTRY CORPORATION OF CHINA, LTD.",30925,,COMPANY,,"Issuer Name Aviation Industry Corporation of China, Ltd; ISIN CND10001WSL0; alt. ISIN CND10002HNP1; alt. ISIN CND10002DPC3; Target Type State-Owned Enterprise; Effective Date (CMIC) 02 Aug 2021; Purchase/Sales For Divestment Date (CMIC) 03 Jun 2022; Listing Date (CMIC) 03 Jun 2021; Unified Social Credit Code (USCC) 91110000710935732K (China); a.k.a. 'AVIC'."
AVIC AVIATION HIGH-TECHNOLOGY COMPANY LIMITED,32082,,COMPANY,,"Equity Ticker 600862  CN; Issuer Name Tonmac International Co., Ltd.; ISIN CNE000000GZ0; Effective Date (CMIC) 02 Aug 2021; Purchase/Sales For Divestment Date (CMIC) 03 Jun 2022; Listing Date (CMIC) 03 Jun 2021; Unified Social Credit Code (USCC) 91320600138299578A (China)."
AVIC HEAVY MACHINERY COMPANY LIMITED,32053,,COMPANY,,"Equity Ticker 600765 CN; Issuer Name Guizhou Liyuan Hydraulic Components Co., Ltd.; ISIN CNE000000N22; Target Type Public Company; Effective Date (CMIC) 02 Aug 2021; Purchase/Sales For Divestment Date (CMIC) 03 Jun 2022; Listing Date (CMIC) 03 Jun 2021; Unified Social Credit Code (USCC) 91520000214434146R (China)."
"AVIC JONHON OPTRONIC TECHNOLOGY CO., LTD.",32055,,COMPANY,,"Equity Ticker 002179 CN; Issuer Name AVIC Jonhon Optronic Technology Co., Ltd.; ISIN CND10003VVT5; alt. ISIN CNE1000007T5; Target Type Public Company; Effective Date (CMIC) 02 Aug 2021; Purchase/Sales For Divestment Date (CMIC) 03 Jun 2022; Listing Date (CMIC) 03 Jun 2021; Unified Social Credit Code (USCC) 914100007457748527 (China)."
